sample	TCGA-KM-8442-01	TCGA-KN-8428-01	TCGA-KN-8430-01	TCGA-KL-8343-01	TCGA-KL-8324-01	TCGA-KN-8421-01	TCGA-KL-8333-01	TCGA-KM-8441-01	TCGA-KL-8335-01	TCGA-KN-8427-01	TCGA-KO-8407-01	TCGA-KL-8346-01	TCGA-KO-8405-01	TCGA-KO-8408-01	TCGA-KO-8410-01	TCGA-KO-8416-01	TCGA-KL-8338-01	TCGA-KO-8406-01	TCGA-KN-8432-01	TCGA-KL-8334-01	TCGA-KL-8332-01	TCGA-KO-8415-01	TCGA-KL-8330-01	TCGA-KM-8438-01	TCGA-KN-8434-01	TCGA-KN-8423-01	TCGA-KM-8476-01	TCGA-KN-8418-01	TCGA-KO-8413-01	TCGA-KO-8417-01	TCGA-KN-8425-01	TCGA-KO-8411-01	TCGA-KN-8424-01	TCGA-KL-8336-01	TCGA-KO-8403-01	TCGA-KN-8436-01	TCGA-KM-8439-01	TCGA-KN-8435-01	TCGA-KN-8429-01	TCGA-KL-8340-01	TCGA-KM-8440-01	TCGA-KM-8639-01	TCGA-KL-8329-01	TCGA-KN-8419-01	TCGA-KL-8328-01	TCGA-KL-8325-01	TCGA-KO-8409-01	TCGA-KM-8443-01	TCGA-KL-8337-01	TCGA-KL-8326-01	TCGA-KL-8344-01	TCGA-KL-8345-01	TCGA-KL-8341-01	TCGA-KL-8327-01	TCGA-KL-8342-01	TCGA-KL-8339-01	TCGA-KO-8404-01	TCGA-KO-8414-01	TCGA-KN-8426-01	TCGA-KN-8431-01	TCGA-KN-8433-01	TCGA-KL-8331-01	TCGA-KN-8437-01
EGFR-R-V	-0.087994774	-0.109552336	-0.29490441	-0.031866059	0.317796927	-0.366092513	0.138416562	-0.440011294	-0.546302554	0.128159593	-0.360362878	0.334010718	0.090183129	-0.542269238	-0.078543939	-0.325602341	-0.247447145	0.174156948	0.120372898	-0.291262325	0.262198597	0.257641167	-0.324965162	-0.321307461	-0.158279921	0.197384831	-0.299116149	-0.789755937	0.264226101	-0.260478973	-0.055492517	-0.27790458	-0.15237342	-0.365782436	0.355168959	-0.331419395	-0.575786915	-0.328313833	-0.770539955	-0.339344275	-0.513637486	-0.352861349	-0.407715683	-0.372863363	-0.611393893	0.540253398	-0.103128329	-0.186254296	-0.547998474	-0.293108617	-0.51161822	-0.089837927	0.202526271	0.094051084	0.541553563	-0.269472677	0.090126133	0.00482508	0.401938563	-0.198738315	-0.017462268	-0.196970396	-0.410452098
EGFR_pY1068-R-C	0.301045955	-0.138735013	0.649689718	0.101340837	-0.39844625	0.222072151	0.255657977	1.123783467	-0.01118744	-0.31784122	0.049214813	0.121712671	0.112001577	-0.473247575	0.294154953	0.450666829	-0.139720315	0.184939662	0.17557979	-0.151112065	0.045426387	0.010237605	0.157480041	-0.115205162	0.137588329	0.470434886	0.359542478	-0.214109947	-0.042590085	0.253906933	-0.094057901	0.498750253	-0.216684874	-0.283580962	-0.086770087	0.777801334	0.698327501	0.36120349	-0.442016479	-0.125584741	-0.079110097	0.000253958	-0.291690187	0.131925417	-0.418588372	0.615951595	0.142061712	-0.188645705	-0.006739988	0.211048343	0.506904684	0.132438953	0.07235902	0.363421399	0.247070651	0.007693077	-0.527924559	-0.110261828	0	0.012458583	0.173821462	-0.237873283	0.981591137
EGFR_pY1173-R-V	-0.010020215	0.039198525	-0.013219862	0.048454234	0.106850991	0.020717886	0.028187318	-0.03671981	0.130658013	-0.074815509	-0.113070449	0.169596657	-0.165901295	-0.029465781	-0.039716432	-0.139930212	0.0103904	0.07277562	0.005872204	0.03526636	0.080388969	-0.049358828	0.046194922	-0.016017023	0.019182237	-0.0682778	0.04555402	0.013445202	-0.085249878	-0.001787582	-0.00103494	-0.092085782	-0.07702619	-0.144713626	-0.101578239	-0.109041208	-0.034415612	-0.001803978	0.164289982	0.167880078	-0.135329958	0.101995924	-0.1465897	0.029210143	0.159429398	-0.102385426	0.092537085	0.087933401	0.093186182	0.007281317	-0.043219987	-0.013789242	-0.056753489	0.029795097	0.122968104	-0.003511412	0.116137862	-0.033645434	-0.148040111	-0.106443819	0.144136598	-0.085970741	-0.065408222
eIF4E-R-V	-0.044476278	0.205736707	-0.058886856	-0.022809062	0.28427962	-0.05387884	-0.104772525	-0.17073252	0.270289946	-0.066834656	-0.095237275	0.508689223	-0.101005494	0.122907422	-0.075552567	-0.177282329	0.009943656	-0.029624346	0.024826745	0.127889722	0.118571579	-0.110573625	0.044890964	-0.003329094	0.179380007	-0.065454705	0.02228651	0.08996532	-0.01306898	0.000662583	0.087750147	-0.109419065	0.112020829	-0.076780313	-0.07371387	-0.058212282	-0.189608147	0.071319952	0.295474854	0.147308838	0.180733247	0.164829467	0.17398993	-0.059607201	0.09078739	-0.217292003	-0.067029708	0.242688182	0.089693293	-0.149244471	-0.254751608	0.043259378	0.226605043	-0.222491657	-0.060233962	0.031295203	-0.567238858	0.270719245	0.054732925	0.020026373	0.221412491	0.136369038	-0.102525827
eIF4G-R-C	-0.030046681	0.182105533	0.03602805	0.172410459	-0.823687327	-0.476094441	0	-0.179723416	-0.803849026	0.765217479	-0.074287366	-0.605122	-0.670543791	-0.298540248	-0.619825146	-0.417460017	-1.028816286	-0.214220668	0.256579236	0.182136441	-1.026330561	-0.162409913	-0.139189203	-0.755039464	0.062226274	0.097362651	-0.581606382	0.218303644	-0.571339994	-0.173500103	-0.309186464	-0.143393535	0.106645932	0.316438595	-0.46024258	0.13070529	-0.081993355	0.202144639	-0.345829491	-0.896379519	-0.541616022	-0.55058674	0.117298079	0.177125451	0.109895428	-0.017571023	-0.491263952	0.013331052	-1.255474091	-0.267162685	0.034797575	0.307612052	0.269587136	-0.533721341	-0.647793857	0.073168285	0.631498946	-0.416598537	0.421413667	0.196695908	-0.684326583	-0.157236375	0.002294826
ER-alpha-R-V	0.003256237	-0.167068473	0.569353193	0.046896406	-0.230420802	0.174856475	-0.229690395	1.113487413	0.154241217	-0.464479379	0.174814582	-0.041368161	-0.068567809	-0.341073122	0.045632566	0.313749242	-0.002381357	-0.115458635	0.196510392	-0.07616698	-0.120847484	-0.109947275	0.271819188	0.255415263	0.062039984	0.334052792	0.249095932	-0.152039338	0.177151292	0.052475889	0.32706815	0.222470907	-0.332170722	-0.196877295	-0.244605726	0.802476814	0.881211786	0.252838898	0.031107659	-0.196789412	0.079591604	0.364623417	0	0.130885243	-0.190398455	0.252261045	-0.049110843	0.098012393	0.237111638	0.165242227	0.532192086	0.117509043	0.034969534	0.101576249	-0.021524354	0.043904376	-0.324823266	-0.136481444	-0.243452654	-0.002895346	0.063521257	-0.058627048	0.854195225
ER-alpha_pS118-R-V	0.44856137	-0.562219154	-0.504174682	0.406933382	1.008297147	-0.181404938	0.052777125	-0.793246551	0.553319797	-0.756319003	-0.346514088	1.387414586	-0.050340658	-0.206217147	0.718081679	-0.650484696	0.809251584	-0.292003779	0.28135582	-0.463773014	0.572147482	-0.030848435	0.428167719	-0.139895112	-0.392100263	0.881282468	-0.604053843	0.086665852	0.352586629	0.06703082	0.158812025	-0.721783947	0.037482363	-0.839859411	-0.606579458	-0.657185973	-0.721914067	-0.092928145	-0.210923798	0.656973802	0.424329115	-0.065249923	0.048519158	-0.419431597	-0.286784206	0.478690674	0.323827895	0.260937433	0.785096979	0.033214246	-0.839999112	0.046395939	-0.215608848	-0.160371341	0.004045153	-0.169086886	-0.482828008	0.9472988	0.62889826	-0.584674077	0.701870583	-0.096713708	-0.892294484
ERCC1-M-V	-0.033818688	0.052436119	0.011072932	-0.052867645	-0.424834824	-0.0483499	-0.106497126	0.028744388	-0.163209168	0.010035147	0.145150489	-0.447628273	0.034836395	-0.152891293	-0.108476358	0.11104919	-0.178243278	0.023090889	0.059266763	-0.051025178	-0.086597996	-0.157450483	-0.015963384	0.018863543	-0.025406121	0.056597534	0.058984328	0.126433907	-0.093986199	0.01789401	-0.373430038	0.027367906	-0.080381967	-0.107512534	-0.038804084	0.102532753	0.126711199	0.076692487	-0.201005914	-0.40352366	-0.096288911	-0.158432516	-0.03361702	0.048702055	0.148900672	-0.061518187	0.012763227	-0.161615726	-0.104986098	0.010193947	0.097791567	-0.065865219	0.162748493	0.126138055	-0.034485791	0.12360945	0.410558805	0.028281642	-0.114252149	0.089199577	-0.264032194	0.05705056	0.079621735
ERK2-R-E	0.064684866	0.287472658	-0.543970213	-0.232891939	0.90894646	-0.100981006	-0.005802515	-0.536382386	-0.058490043	0.217881489	-0.287195942	1.027747043	0.214464495	0.299449883	0.241185334	-0.579353516	0.251877874	-0.208471311	0.266103033	0.170738404	0.275962078	0.262290641	-0.177525499	-0.165127079	-0.041850322	0.306374161	-0.233625559	-0.288534868	0.333752623	-0.294089484	0.373933405	-0.500218922	0.224849488	-0.098414909	-0.021904975	-0.537259035	-0.33492395	-0.389309984	0.311670632	0.520737914	0.180733247	0.393085866	0.119976875	-0.032935177	-0.301053487	0.029007953	0	0.181837494	0.322192717	-0.442893466	-0.738094683	-0.342899938	0.069613429	-0.197396501	0.16247179	-0.320255619	0.451932103	0.417986497	0.249970544	-0.160929201	0.679514412	-0.024187238	-0.718630532
ETS-1-R-V	-0.190102928	0.049199927	-0.069717309	0.056723388	0.03875702	-0.002946026	-0.02885764	-0.091185408	0.220265521	-0.139364795	0.044205994	0.021070869	0.036124736	0.172930931	0.092643919	-0.002955508	0.002984196	-0.053214375	-0.087085005	0.132226363	0.232845155	0.007734217	-0.009833702	0.150152737	0.012839447	0.001228917	-0.009968542	-0.003568574	-0.016844445	0.023675378	-0.07267226	0.028051221	0.053893638	-0.065124618	-0.03823967	-0.056250323	0.206809688	-0.003077129	0.311537402	0.184552608	0.014447948	-0.057797225	-0.056648682	0.032121955	0.038677525	-0.189801326	0.053214397	0.146306712	0.081224832	0.013935911	0.015019035	0.196527229	-0.095887591	0	0.074884275	0.186581657	-0.139418195	0.083140327	0.017632202	0.091272527	0.039963765	0.016367977	0.045931985
FASN-R-V	0.235582245	-0.292134689	0.449703614	-0.207750428	-0.714560205	-0.377808412	-0.487213423	0.537285657	-0.535077756	1.15802006	0.509724364	-0.191863921	0.463465021	-0.049267789	-0.211232639	0.125327676	-0.447147516	0.21121665	-0.045723737	-0.646326339	0.044709532	0.24227519	0.188773081	-0.633105516	0.345919266	0.036939409	-0.041303059	-0.099457205	-0.389659903	0.368044488	-0.219565043	0.330948484	0.235154999	-0.151654928	0.383461408	0.78178615	0.677624006	0.520278115	-0.645633649	-0.51271538	-0.292554212	-0.240944281	-0.290985405	0.26758219	0.497259231	0.58511189	-0.046262087	-0.536048798	-0.690147385	0.215925284	0.568558395	-0.20846421	0.964890999	-0.014106058	-0.404251535	0.318365191	1.039582616	-0.533358261	-0.070986824	0.256898826	-0.656545543	-0.309679257	0.904179577
Fibronectin-R-V	-0.200144224	0.587731633	-0.120575284	-0.432275054	-0.452921773	-0.576168989	-0.328379974	-0.121403472	0.661299596	2.051230852	0.150633848	0.472852073	-0.476910547	-0.056317551	-0.289887017	0.110521893	-0.173454698	-0.601458881	-0.37423226	0.482550972	0.272668207	-0.349737172	-0.287524282	0.728785078	0.087033599	-0.131496471	-0.550299565	0.031657645	0.605538346	-0.523892834	-0.100010552	-0.542472022	-0.143362173	0.523277437	-0.369193276	-0.275786207	-0.254696175	-0.245201443	1.243900809	0.799698007	-0.303992946	0.581301086	0.324039124	-0.132341489	-0.235314357	-0.651695978	-0.510463533	0.131550723	-0.159142032	-0.246103262	0.419763364	-0.326053848	0.083797081	-0.472383519	-0.264961184	-0.017511281	1.104269667	-0.358482812	0.157255859	-0.519355923	0.139931836	-0.066971495	-0.006869071
FoxM1-R-V	0.155439632	0.025895465	0.441192372	0.069167476	-0.262393251	0.202080773	-0.140567117	0.612905893	0.178636548	-0.260743206	0.226262241	-0.053404952	-0.127957299	-0.277017391	-0.176430745	0.364651801	0.211943003	-0.108352536	0.026016778	-0.064188813	0.025676254	-0.002757294	0.158594495	0.082192935	0.140795186	0.064886402	0.260258214	-0.06265935	0.006067343	0.295277421	-0.035593891	0.342504402	-0.541447059	-0.045729345	-0.363355973	0.539002902	0.573197825	0.471968474	0.256938146	-0.122270563	0.106761341	0.358817133	-0.088630869	0.326175908	-0.31556579	0.20692614	-0.032142105	0.074609271	0.234295406	0.298948941	0.292062043	0.140470352	0.162748493	0.139150024	0.175355662	0.201142986	0.027296096	-0.064467964	-0.150478176	0.150811743	0.123820595	0.007958004	0.657188187
FOXO3a-R-C	0.054718334	-0.100888234	0.568788253	-0.02143574	-0.34156513	0.190199237	-0.426358756	0.629032391	0.108692251	-0.594423044	0.405162575	-0.190846164	-0.058440801	-0.272330858	-0.044707037	0.417971587	0.115902015	-0.180428142	0.104013616	-0.125062983	0.004912627	-0.169131573	0.333369514	0.017059463	0.067347253	0.062873414	0.316140398	-0.033501542	-0.12823665	0.293296323	-0.012120962	0.47934341	-0.562028762	-0.248166367	-0.347385866	0.46553619	0.597060644	0.485271592	-0.083671763	-0.134601017	0.040484858	0.309872999	-0.100539819	0.369154446	-0.235314357	0.246866501	-0.022205178	-0.033915123	0.109962821	0.345482866	0.480834862	-0.005795158	0.068848455	0.201049718	0	0.289420932	-0.593226089	-0.163303316	-0.279488186	0.259206653	0.091088685	0.095039704	0.530577628
FOXO3a_pS318_S321-R-C	0.022429777	0.058691149	0.137745082	-0.006389148	-0.216141407	0.196227813	-0.20855302	0.287389255	-0.098064093	-0.516941395	-0.062978447	-0.250489745	0.009700056	0.17947616	0.083459609	0.081034036	-0.0921492	-0.000741324	-0.065788754	-0.320524606	-0.064995474	0.084906147	-0.045185009	-0.145293119	-0.101240801	0.162209882	0.118381518	-0.020323159	0.095884645	-0.050609962	-0.103206659	0.044723558	-0.094760906	-0.129164896	-0.09231224	0.175876945	0.263673582	0.118356547	-0.291703274	-0.27035408	-0.07989597	0.042160461	-0.275853913	0.001489662	-0.112616135	0.067099933	0.120715287	-0.193315402	0.027256423	-0.034896683	-0.010663511	0.075730645	0.147375655	0.022672564	-0.053948994	-0.063194534	-0.484003574	-0.034150813	-0.170302647	-0.013115717	0.08948947	-0.183232053	0.217263196
G6PD-M-V	-0.148403407	0.08999241	0.02722206	-0.381475503	-0.472456214	0.06337165	-0.68686984	0.090013694	0.134511544	-0.315189327	-0.062567827	0.044357424	0.048377127	0.024983472	-0.058518596	0.092175261	0.078226677	-0.369613856	-0.061002513	-0.154141199	-0.010422494	-0.28626324	-0.068921836	-0.239641637	0.003605926	-0.159409095	-0.073427263	-0.163975479	0.251643257	-0.100947388	0.107412078	-0.126749977	-0.391227297	-0.463701913	-0.660697778	0.076064653	0.111704558	0.014852823	-0.234853345	0.09420025	0.234172579	0.368090397	0.195548165	0.009140068	-0.428213913	-0.222482094	-0.112194706	-0.303807179	0.078860725	-0.162997962	0.093993233	-0.206850331	-0.105119351	-0.089255039	-0.23793442	-0.129752218	0.1499359	-0.328109319	-0.220782479	-0.016315543	0.187932776	-0.172516549	0.054830253
GAB2-R-V	-0.153133545	0.422184208	-0.054861144	-0.194795969	0.858551666	-0.625317314	0.014969826	-0.707598738	-0.202522682	-0.311989224	-0.206770912	0.222437223	-0.144070926	0.333123984	-0.353262571	-0.27962253	-0.108463228	0.030005754	0.244209242	0.281216225	-0.710295672	0.543142774	-0.302160904	0.060454499	-0.341094175	0.062356744	-0.326197425	0.438884526	0.290029806	-0.361760675	0.246021064	-0.522073422	0.467854253	0.2735138	0.229642926	-0.476472818	-0.716153595	0.081964887	0.401314649	-0.045435107	0.055185124	-0.721701569	0.52184424	0.18969256	-0.025517452	-0.360818843	0.09522157	-0.090026566	-0.440290578	-0.142933588	-0.263143476	-0.41315635	0.461493766	-0.291976105	0.159169791	-0.093045595	0.695288556	0.327927256	1.057128439	0.425202645	0.050209366	-0.162798983	-0.636856168
