MIMAT0004688
MIMAT0000448
MIMAT0000426
MIMAT0002872
MIMAT0004927
MIMAT0004614
MIMAT0001080
MIMAT0004680
MIMAT0005825
MIMAT0000265
MIMAT0000079
MIMAT0003283
MIMAT0000274
MIMAT0004588
MIMAT0016847
MIMAT0004485
MIMAT0000451
MIMAT0000254
MIMAT0004956
MIMAT0000244
MIMAT0000073
MIMAT0004501
MIMAT0004673
MIMAT0000091
MIMAT0000764
MIMAT0000270
MIMAT0026738
MIMAT0019746
MIMAT0001620
MIMAT0000226
MIMAT0004553
MIMAT0019761
MIMAT0000415
MIMAT0002809
MIMAT0000458
MIMAT0026477
MIMAT0004571
MIMAT0000455
MIMAT0004482
MIMAT0018073
MIMAT0019208
MIMAT0004550
MIMAT0017985
MIMAT0000424
MIMAT0003328
MIMAT0002876
MIMAT0000703
MIMAT0000077
MIMAT0001343
MIMAT0000099
MIMAT0000071
MIMAT0004585
MIMAT0004911
MIMAT0000416
MIMAT0000434
MIMAT0000689
MIMAT0003241
MIMAT0005797
MIMAT0004693
MIMAT0000069
MIMAT0000460
MIMAT0000432
MIMAT0000435
MIMAT0000750
MIMAT0000065
MIMAT0000710
MIMAT0015045
MIMAT0000688
MIMAT0017990
MIMAT0010214
MIMAT0000459
MIMAT0000759
MIMAT0025848
MIMAT0000756
MIMAT0004697
MIMAT0004502
MIMAT0004799
MIMAT0003150
MIMAT0005792
MIMAT0016895
MIMAT0022696
MIMAT0004569
MIMAT0000253
MIMAT0000096
MIMAT0004589
MIMAT0003239
MIMAT0000086
MIMAT0000275
MIMAT0000272
MIMAT0021020
MIMAT0004611
MIMAT0000425
MIMAT0002888
MIMAT0004509
MIMAT0003885
MIMAT0000763
MIMAT0000444
MIMAT0000281
MIMAT0004551
RBM22
ALDOC
MIMAT0002874
MIMAT0022692
MIMAT0000431
SPHK2
MIMAT0000267
MIMAT0002820
MIMAT0004497
SMPD1
SLC2A1
ARHGEF18
KCNJ8
MIMAT0000227
HPS3
MIMAT0005796
TMEM22
TPD52L1
LOC100128822
MIMAT0000646
CCND1
AP3S1
RHBDD2
RAB11FIP4
MIMAT0000261
BCL7A
DDIT4
ARHGAP39
C6orf150
ACAD10
SLC15A4
MPI
DUSP1
IL10RB
MIMAT0004515
MIMAT0004500
GPR85
KTELC1
UBD
SLC25A26
PPM1H
SCIN
7-Sep
MYO1B
LMTK3
CUX1
BCAT2
MIMAT0005924
PDGFD
PGAM5
KLC3
TLCD1
C3orf64
CAPN1
CMPK2
IL1RAP
NRL
EHD2
OGDHL
C3orf1
RLF
MIMAT0004776
BIRC3
SLC25A12
PARD6A
ABTB2
MN1
BIK
PWWP2B
MIMAT0004784
TMEM53
PXMP4
POLR3C
NMUR1
7-Mar
FBXO2
DCLRE1B
APLP2
HIP1R
C9orf21
FAM115C
SERPINB9
ZNF629
AKT2
ALS2CL
OSBPL2
ATP6V0E2
ARHGAP8
PLEKHG2
RIPK1
ANO10
CRLF3
HNMT
MIMAT0000510
TIPRL
RAB11B
INSIG2
MIMAT0004748
C10orf41
MGAT3
ATXN1
FAM186B
DNAJC5
CADM4
MIMAT0002174
SLC9A9
SNX33
GDI2
PDP1
PAG1
CHST15
KIAA1522
LDHD
TAF5
GORASP1
DIRAS2
STRBP
DTNB
CHCHD7
DNAJA3
GIT2
JAG1
ProSAPiP1
HTRA1
FYN
KIAA0284
IL18R1
ARNT
PLOD1
BCAR1
HMGB3
AFF3
SLC29A2
DCUN1D3
TRDMT1
CRTC1
NEDD4
ABLIM3
LOX
C3orf18
CD302
KCTD1
ACTR3B
GTPBP5
SGCB
DDX28
PDDC1
TTC27
TM4SF18
LOC644538
TSSK6
TOM1
KHDRBS1
C5orf36
RAB40B
RBMS3
IFIT5
PPIP5K1
PPFIA4
CMC1
MIMAT0000245
TMEM116
PLCB1
SRD5A3
PPT1
ANKRD32
ZNF792
PHF7
RAB8B
MID1IP1
BNIP2
SIRT5
PRPF40B
DDR1
OSMR
RB1
PAIP2
HSD17B11
AK3L1
ANTXR2
FOXJ3
ADRA1B
CUEDC1
AFAP1
AIDA
SRGAP2
RSU1
SFT2D2
ZNF777
CCDC88A
RNF219
MIMAT0004493
C15orf52
FOXRED1
TROVE2
KCTD3
AHSA1
DEF8
BCO2
LLGL2
FAM110B
SCAMP4
SSR1
WDFY1
LPCAT1
COQ10A
PISD
EIF2C1
MBNL2
C3orf58
C5orf15
NAP1L4
ADPRH
DARS
AAGAB
TMEM45A
TMEM51
MIMAT0000083
WIPI2
FBXO17
NR3C1
PCBP4
ANP32E
TRPM4
C15orf59
MSH6
PSKH1
ARRDC3
CALCOCO2
PLSCR4
SLC25A38
CKB
ACAD11
ZNF25
FAM160B1
TMEM8B
KCNK3
SLC39A14
REPIN1
ITGB1
TMEM26
C14orf159
UBAC1
DHCR7
PPP3R1
CASP10
METRNL
CXorf57
ST14
ADCK1
RALB
MYO19
PARP3
ICK
CLEC16A
ABL2
STARD13
SLC25A35
TMEM37
C3orf31
SDR39U1
CD109
PYGB
C19orf52
SERTAD2
TCP11L1
TMEM55B
C19orf73
F8
TM7SF2
KATNAL1
SLC2A5
BNIP3
TGFA
SHROOM4
ZDHHC23
HAGHL
RIT1
DYRK3
DBN1
MIMAT0004809
FTO
EDN1
PDIA5
ACLY
MXI1
DDX58
GDE1
C1orf53
EHBP1
PAK4
TLR3
KCNJ11
SYNGR3
SSPN
MSN
FAM155B
MAEA
PLEKHA2
CDK19
BNIP3L
